city,date,temperature
sokcho,2010-01,-0.4
sokcho,2010-02,1.5
sokcho,2010-03,3.7
sokcho,2010-04,9.1
sokcho,2010-05,16.0
sokcho,2010-06,20.1
sokcho,2010-07,25.0
sokcho,2010-08,25.7
sokcho,2010-09,20.4
sokcho,2010-10,14.9
sokcho,2010-11,9.1
sokcho,2010-12,2.8
