city,date,temperature
jeju,2010-01,5.3
jeju,2010-02,7.1
jeju,2010-03,9.5
jeju,2010-04,11.8
jeju,2010-05,17.3
jeju,2010-06,21.2
jeju,2010-07,25.9
jeju,2010-08,28.8
jeju,2010-09,24.2
jeju,2010-10,17.6
jeju,2010-11,11.7
jeju,2010-12,7.1
