city,date,temperature
seoul,2020-01,1.6
seoul,2020-02,2.5
seoul,2020-03,7.7
seoul,2020-04,11.1
seoul,2020-05,18.0
seoul,2020-06,23.9
seoul,2020-07,24.1
seoul,2020-08,26.5
seoul,2020-09,21.4
seoul,2020-10,14.3
seoul,2020-11,8.0
seoul,2020-12,-0.3
